trial #,trial cups,trial moves,cup speed,Correct/Incorrect,time to response,
1,2,1,0.75,Incorrect,7.728201,
1,2,1,0.75,Incorrect,7.745017,
1,2,1,0.75,Incorrect,7.762377,
1,2,1,0.75,Incorrect,7.778808,
1,2,1,0.75,Incorrect,7.795846,
1,2,1,0.75,Incorrect,7.812615,
1,2,1,0.75,Incorrect,7.829275,
1,2,1,0.75,Incorrect,7.849636,
1,2,1,0.75,Incorrect,7.866946,
1,2,1,0.75,Incorrect,7.884148,
1,2,1,0.75,Incorrect,7.900761,
1,2,1,0.75,Incorrect,7.917433,
1,2,1,0.75,Incorrect,7.934012,
1,2,1,0.75,Incorrect,7.950792,
1,2,1,0.75,Incorrect,7.967582,
1,2,1,0.75,Incorrect,7.985628,
1,2,1,0.75,Incorrect,8.001601,
1,2,1,0.75,Incorrect,8.018122,
1,2,1,0.75,Incorrect,8.035282,
1,2,1,0.75,Incorrect,8.052767,
1,2,1,0.75,Incorrect,8.069852,
1,2,1,0.75,Incorrect,8.086667,
1,2,1,0.75,Incorrect,8.103396,
1,2,1,0.75,Incorrect,8.120381,
1,2,1,0.75,Incorrect,8.137949,
1,2,1,0.75,Incorrect,8.154722,
1,2,1,0.75,Incorrect,8.170944,
1,2,1,0.75,Incorrect,8.188887,
1,2,1,0.75,Incorrect,8.205462,
1,2,1,0.75,Incorrect,8.223129,
1,2,1,0.75,Incorrect,8.239331,
1,2,1,0.75,Incorrect,8.256489,
1,2,1,0.75,Incorrect,8.274009,
1,2,1,0.75,Incorrect,8.290338,
1,2,1,0.75,Incorrect,8.307666,
1,2,1,0.75,Incorrect,8.325001,
1,2,1,0.75,Incorrect,8.342374,
1,2,1,0.75,Incorrect,8.359608,
1,2,1,0.75,Incorrect,8.375903,
1,2,1,0.75,Incorrect,8.392664,
1,2,1,0.75,Incorrect,8.410493,
1,2,1,0.75,Incorrect,8.426851,
1,2,1,0.75,Incorrect,8.443839,
1,2,1,0.75,Incorrect,8.460179,
1,2,1,0.75,Incorrect,8.476877,
1,2,1,0.75,Incorrect,8.49394,
1,2,1,0.75,Incorrect,8.510674,
1,2,1,0.75,Incorrect,8.532106,
1,2,1,0.75,Incorrect,8.551326,
1,2,1,0.75,Incorrect,8.568018,
1,2,1,0.75,Incorrect,8.584829,
1,2,1,0.75,Incorrect,8.60201,
1,2,1,0.75,Incorrect,8.618775,
1,2,1,0.75,Incorrect,8.636163,
1,2,1,0.75,Incorrect,8.652774,
1,2,1,0.75,Incorrect,8.669482,
1,2,1,0.75,Incorrect,8.689674,
1,2,1,0.75,Incorrect,8.706017,
1,2,1,0.75,Incorrect,8.724285,
1,2,1,0.75,Incorrect,8.741368,
1,2,1,0.75,Incorrect,8.758738,
1,2,1,0.75,Incorrect,8.775488,
1,2,1,0.75,Incorrect,8.792027,
1,2,1,0.75,Incorrect,8.809483,
1,2,1,0.75,Incorrect,8.826768,
1,2,1,0.75,Incorrect,8.843926,
1,2,1,0.75,Incorrect,8.860886,
1,2,1,0.75,Incorrect,8.8777,
1,2,1,0.75,Incorrect,8.895644,
1,2,1,0.75,Incorrect,8.911296,
1,2,1,0.75,Incorrect,8.928011,
1,2,1,0.75,Incorrect,8.945632,
1,2,1,0.75,Incorrect,8.962729,
1,2,1,0.75,Incorrect,8.979315,
1,2,1,0.75,Incorrect,8.996247,
1,2,1,0.75,Incorrect,9.012773,
1,2,1,0.75,Incorrect,9.03065,
1,2,1,0.75,Incorrect,9.047638,
1,2,1,0.75,Incorrect,9.064196,
1,2,1,0.75,Incorrect,9.081648,
1,2,1,0.75,Incorrect,9.098538,
1,2,1,0.75,Incorrect,9.115771,
1,2,1,0.75,Incorrect,9.132702,
1,2,1,0.75,Incorrect,9.149816,
1,2,1,0.75,Incorrect,9.166228,
1,2,1,0.75,Incorrect,9.183171,
1,2,1,0.75,Incorrect,9.19998,
1,2,1,0.75,Incorrect,9.217303,
1,2,1,0.75,Incorrect,9.234381,
1,2,1,0.75,Incorrect,9.25077,
1,2,1,0.75,Incorrect,9.267689,
1,2,1,0.75,Incorrect,9.284636,
1,2,1,0.75,Incorrect,9.301243,
1,2,1,0.75,Incorrect,9.318029,
1,2,1,0.75,Incorrect,9.334931,
1,2,1,0.75,Incorrect,9.35195,
1,2,1,0.75,Incorrect,9.36874,
1,2,1,0.75,Incorrect,9.386245,
1,2,1,0.75,Incorrect,9.403045,
1,2,1,0.75,Incorrect,9.419641,
1,2,1,0.75,Incorrect,9.436978,
1,2,1,0.75,Incorrect,9.454139,
1,2,1,0.75,Incorrect,9.471042,
1,2,1,0.75,Incorrect,9.488791,
1,2,1,0.75,Incorrect,9.505514,
1,2,1,0.75,Incorrect,9.523039,
1,2,1,0.75,Incorrect,9.539758,
1,2,1,0.75,Incorrect,9.556395,
1,2,1,0.75,Incorrect,9.573301,
1,2,1,0.75,Incorrect,9.590075,
1,2,1,0.75,Incorrect,9.60721,
1,2,1,0.75,Incorrect,9.624253,
1,2,1,0.75,Incorrect,9.641075,
1,2,1,0.75,Incorrect,9.657707,
1,2,1,0.75,Incorrect,9.675071,
1,2,1,0.75,Incorrect,9.692803,
1,2,1,0.75,Incorrect,9.70987,
1,2,1,0.75,Incorrect,9.729208,
1,2,1,0.75,Incorrect,9.746133,
1,2,1,0.75,Incorrect,9.763241,
1,2,1,0.75,Incorrect,9.78037,
1,2,1,0.75,Incorrect,9.79773,
1,2,1,0.75,Incorrect,9.814934,
1,2,1,0.75,Incorrect,9.832479,
1,2,1,0.75,Incorrect,9.848736,
1,2,1,0.75,Incorrect,9.866055,
1,2,1,0.75,Incorrect,9.882926,
1,2,1,0.75,Incorrect,9.89988,
1,2,1,0.75,Incorrect,9.916546,
1,2,1,0.75,Incorrect,9.933783,
1,2,1,0.75,Incorrect,9.950793,
1,2,1,0.75,Incorrect,9.967692,
1,2,1,0.75,Incorrect,9.984579,
1,2,1,0.75,Incorrect,10.00171,
1,2,1,0.75,Incorrect,10.018772,
1,2,1,0.75,Incorrect,10.036151,
1,2,1,0.75,Incorrect,10.053239,
1,2,1,0.75,Incorrect,10.069853,
1,2,1,0.75,Incorrect,10.08664,
1,2,1,0.75,Incorrect,10.104037,
1,2,1,0.75,Incorrect,10.120399,
1,2,1,0.75,Incorrect,10.136895,
1,2,1,0.75,Incorrect,10.154183,
1,2,1,0.75,Incorrect,10.171604,
1,2,1,0.75,Incorrect,10.187974,
1,2,1,0.75,Incorrect,10.205121,
1,2,1,0.75,Incorrect,10.222429,
1,2,1,0.75,Incorrect,10.239028,
1,2,1,0.75,Incorrect,10.255908,
1,2,1,0.75,Incorrect,10.272489,
1,2,1,0.75,Incorrect,10.289283,
1,2,1,0.75,Incorrect,10.30704,
